idSucursal;idTipoPaquete;idServicioCable;fibraOptica;velocidadInternet;telefonia;precioPromoPaquete;precioNormalPaquete;tarifaPromocional;simetria;velocidadPromo;tiempoVelocidadPromo
31;3;0;;250;1;$700;$800;0;1;;
31;3;0;;500;1;$800;$900;0;1;;
31;2;2;;60;1;$650;$750;;1;;
31;2;2;;100;1;$750;$850;;1;;
31;2;2;;250;1;$850;$950;;1;;
31;2;2;;500;1;$950;$1.050;;1;;
31;1;1;;1000;1;$1.000;$1.100;;0;;
32;2;2;;60;1;$600;$650;450;0;120;6
32;2;2;;100;1;$700;$750;550;0;200;6
32;2;2;;250;1;$800;$850;650;0;500;6
32;2;2;;500;1;$900;$950;750;0;1000;6
32;3;0;;60;1;$450;$500;300;0;120;6
32;3;0;;100;1;$550;$600;400;0;200;6
32;3;0;;250;1;$650;$700;500;0;500;6
32;3;0;;500;1;$750;$800;600;0;1000;6
32;3;0;;60;1;$500;$600;0;1;;
32;3;0;;100;1;$600;$700;0;1;;
32;3;0;;250;1;$700;$800;0;1;;
32;3;0;;500;1;$800;$900;0;1;;
32;2;2;;60;1;$650;$750;;1;;
32;2;2;;100;1;$750;$850;;1;;
32;2;2;;250;1;$850;$950;;1;;
32;2;2;;500;1;$950;$1.050;;1;;
32;1;1;;1000;1;$1.000;$1.100;;0;;
33;2;2;;60;1;$600;$650;450;0;120;6
33;2;2;;100;1;$700;$750;550;0;200;6
33;2;2;;250;1;$800;$850;650;0;500;6
33;2;2;;500;1;$900;$950;750;0;1000;6
33;3;0;;60;1;$450;$500;300;0;120;6
33;3;0;;100;1;$550;$600;400;0;200;6
33;3;0;;250;1;$650;$700;500;0;500;6
33;3;0;;500;1;$750;$800;600;0;1000;6
33;3;0;;60;1;$500;$600;0;1;;
33;3;0;;100;1;$600;$700;0;1;;
33;3;0;;250;1;$700;$800;0;1;;
33;3;0;;500;1;$800;$900;0;1;;
33;2;2;;60;1;$650;$750;;1;;
33;2;2;;100;1;$750;$850;;1;;
33;2;2;;250;1;$850;$950;;1;;
33;2;2;;500;1;$950;$1.050;;1;;
33;1;1;;1000;1;$1.000;$1.100;;0;;
35;2;2;;60;1;$600;$650;450;0;120;6
35;2;2;;100;1;$700;$750;550;0;200;6
35;2;2;;250;1;$800;$850;650;0;500;6
35;2;2;;500;1;$900;$950;750;0;1000;6
35;3;0;;60;1;$450;$500;300;0;120;6
35;3;0;;100;1;$550;$600;400;0;200;6
35;3;0;;250;1;$650;$700;500;0;500;6
35;3;0;;500;1;$750;$800;600;0;1000;6
35;3;0;;60;1;$500;$600;0;1;;
35;3;0;;100;1;$600;$700;0;1;;
35;3;0;;250;1;$700;$800;0;1;;
35;3;0;;500;1;$800;$900;0;1;;
35;2;2;;60;1;$650;$750;;1;;
35;2;2;;100;1;$750;$850;;1;;
35;2;2;;250;1;$850;$950;;1;;
35;2;2;;500;1;$950;$1.050;;1;;
35;1;1;;1000;1;$1.000;$1.100;;0;;
36;2;1;;60;1;$600;$650;450;0;120;6
36;2;1;;100;1;$700;$750;550;0;200;6
36;2;1;;250;1;$800;$850;650;0;500;6
36;2;1;;500;1;$900;$950;750;0;1000;6
36;3;0;;60;1;$450;$500;300;0;120;6
36;3;0;;100;1;$550;$600;400;0;200;6
36;3;0;;250;1;$650;$700;500;0;500;6
36;3;0;;500;1;$750;$800;600;0;1000;6
36;3;0;;60;1;$500;$600;0;1;;
36;3;0;;100;1;$600;$700;0;1;;
36;3;0;;250;1;$700;$800;0;1;;
36;3;0;;500;1;$800;$900;0;1;;
36;2;1;;60;1;$650;$750;;1;;
36;2;1;;100;1;$750;$850;;1;;
36;2;1;;250;1;$850;$950;;1;;
36;2;1;;500;1;$950;$1.050;;1;;
36;1;1;;1000;1;$1.000;$1.100;;0;;
37;2;1;;60;1;$600;$650;450;0;120;6
37;2;1;;100;1;$650;$700;550;0;200;6
37;2;1;;250;1;$750;$800;650;0;500;6
37;3;0;;60;1;$450;$500;300;0;120;6
37;3;0;;100;1;$550;$600;400;0;200;6
37;3;0;;250;1;$650;$700;500;0;500;6
38;3;0;;60;1;$450;$500;300;0;120;6
38;2;1;;60;1;$550;$600;400;0;120;6
39;2;2;;60;1;$600;$650;450;0;120;6
39;2;2;;100;1;$700;$750;550;0;200;6
39;2;2;;250;1;$800;$850;650;0;500;6
39;2;2;;500;1;$900;$950;750;0;1000;6
39;3;0;;60;1;$450;$500;300;0;120;6
39;3;0;;100;1;$550;$600;400;0;200;6
39;3;0;;250;1;$650;$700;500;0;500;6
39;3;0;;500;1;$750;$800;600;0;1000;6
39;3;0;;60;1;$500;$600;0;1;;
39;3;0;;100;1;$600;$700;0;1;;
39;3;0;;250;1;$700;$800;0;1;;
39;3;0;;500;1;$800;$900;0;1;;
39;2;2;;60;1;$650;$750;;1;;
39;2;2;;100;1;$750;$850;;1;;
39;2;2;;250;1;$850;$950;;1;;
39;2;2;;500;1;$950;$1.050;;1;;
